id_log,id_personaje,campo_modificado,valor_anterior,valor_nuevo,fecha
NULL,1,ataque,70,75,2025-01-04 10:15:00
NULL,2,velocidad,78,80,2025-01-11 13:20:00
NULL,3,defensa,80,82,2025-02-02 09:05:00
NULL,4,salud,30,33,2025-02-20 18:30:00
NULL,5,ataque,76,79,2025-03-03 07:45:00
NULL,6,salud,78,80,2025-03-15 12:10:00
NULL,7,ataque,78,81,2025-04-01 08:50:00
NULL,8,defensa,30,32,2025-04-12 16:40:00
NULL,9,salud,82,85,2025-05-05 11:55:00
NULL,10,velocidad,81,83,2025-05-22 14:00:00
NULL,11,ataque,83,85,2025-06-08 19:10:00
NULL,12,defensa,26,28,2025-06-30 06:00:00
NULL,13,ataque,74,76,2025-07-17 21:30:00
NULL,14,salud,30,32,2025-08-09 09:25:00
NULL,15,defensa,80,82,2025-09-01 17:40:00
