id_mision,nombre_mision,nivel_minimo,id_objeto_recompensa,cantidad_recompensa
NULL,Cazar al jabali salvaje,1,4,3
NULL,Recuperar la gema perdida,5,19,1
NULL,Ayudar al granjero herido,1,1,2
NULL,Explorar la cueva oscura,3,3,1
NULL,Derrotar a la banda de bandidos,4,6,1
NULL,Entrega secreta a la costa,2,11,1
NULL,Encontrar el mapa del viejo,2,15,1
NULL,Probar la forja,4,12,1
NULL,Salvar al aprendiz de mago,3,2,2
NULL,Protejer el convoy,5,7,1
NULL,Recoger hierbas curativas,1,10,4
NULL,Infiltrarse en la caravana,6,18,1
NULL,Reparar el puente roto,2,13,1
NULL,Investigar el pantano,4,16,1
NULL,Derrotar al jefe ogro local,7,6,2
